industry,orgSize,intSecStaff,intSecStaff2,intJuniorStaff,intGenStaff,intMonStaff,intIRStaff,intTIStaff,budget
Technology,101 to 500,101 to 1000,11 to 25,2 to 10,11 to 25,26 to 100,101 to 1000,26 to 100,"$100,001 to 250,000 USD"
Banking and finance,101 to 500,26 to 100,11 to 25,26 to 100,11 to 25,2 to 10,1,2 to 10,"Less than $100,000 USD"
Retail,"5,001 to 10,000",2 to 10,1,,2 to 10,Less than 1 ,Less than 1 ,Less than 1 ,"$750,001 to $1,000,000 USD"
Transportation,Fewer than 100,11 to 25,2 to 10,2 to 10,11 to 25,11 to 25,2 to 10,2 to 10,"250,001 to $500,000 USD"
Technology,101 to 500,2 to 10,11 to 25,1,2 to 10,2 to 10,1,2 to 10,"$100,001 to 250,000 USD"
Technology,"501 to 1,000",26 to 100,11 to 25,26 to 100,101 to 1000,26 to 100,11 to 25,26 to 100,
Telecommunications/ISP,"More than 100,000",,,,,2 to 10,2 to 10,,
Technology,101 to 500,101 to 1000,26 to 100,26 to 100,26 to 100,11 to 25,2 to 10,11 to 25,"$100,001 to 250,000 USD"
Cybersecurity,"More than 100,000",,,,,,,,
Utilities,101 to 500,,,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,Less than 1 ,"Less than $100,000 USD"
Cybersecurity,"5,001 to 10,000",,,,,,,,
Technology,"15,001 to 50,000",,,,,,,,"Less than $100,000 USD"
Cybersecurity,Fewer than 100,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,2 to 10,"Less than $100,000 USD"
Banking and finance,"5,001 to 10,000",101 to 1000,11 to 25,11 to 25,2 to 10,11 to 25,11 to 25,2 to 10,"$100,001 to 250,000 USD"
Other (Please specify),"2,001 to 5,000",,,,,,,,
Media,Fewer than 100,2 to 10,11 to 25,Less than 1 ,1,2 to 10,11 to 25,11 to 25,"$500,001 to $750,000 USD"
Utilities,"501 to 1,000",2 to 10,1,1,1,Less than 1 ,1,Less than 1 ,$1 million to $2 million USD
Education,"501 to 1,000",1,26 to 100,11 to 25,2 to 10,2 to 10,1,2 to 10,"250,001 to $500,000 USD"
Other (Please specify),"15,001 to 50,000",,,,,,,,
Cybersecurity,"1,001 to 2,000",,,,,,,,
Media,"2,001 to 5,000",26 to 100,2 to 10,11 to 25,2 to 10,11 to 25,2 to 10,11 to 25,
Cybersecurity,"10,001 to 15,000",,,,,,,,
Utilities,"10,001 to 15,000",,,,,,,,
Utilities,"5,001 to 10,000",,,,,,,,
